"Story","Title","Result","Date","Stability","Duration (s)"
"User","GET - As admin I have be able to get detail user","SUCCESS","2023-04-16T09:06:55.630026+07:00[Asia/Jakarta]","0.0","4.62"
"User","GET - As admin I have be able to get list user","SUCCESS","2023-04-16T09:07:00.266145+07:00[Asia/Jakarta]","0.0","0.27"
"User","POST - As admin I have be able to create new user","SUCCESS","2023-04-16T09:07:00.540364+07:00[Asia/Jakarta]","0.0","0.74"
"User","PUT - As admin i have be able to update existing user","SUCCESS","2023-04-16T09:07:01.288832+07:00[Asia/Jakarta]","0.0","0.69"
"User","DELETE - As admin i have be able to delete existing user","SUCCESS","2023-04-16T09:07:01.98369+07:00[Asia/Jakarta]","0.0","0.67"
